Player Name,Position,Matchup Light,Offense Light,Vegas Light
Trishton Jackson,WR,RED,GREEN,RED
Bailey Zappe,QB,RED,YELLOW,RED
Kareem Hunt,RB,YELLOW,RED,RED
Stanley Berryhill,WR,#N/A,#N/A,#N/A
Frank Gore Jr.,RB,YELLOW,GREEN,GREEN
Jake Browning,QB,RED,GREEN,GREEN
Jarrett Stidham,QB,GREEN,YELLOW,RED
Marcedes Lewis,TE,YELLOW,RED,GREEN
Kene Nwangwu,RB,#N/A,#N/A,#N/A
Marquez Valdes-Scantling,WR,YELLOW,RED,RED
Khari Blasingame,RB,YELLOW,YELLOW,GREEN
Matthew Wright,K,#N/A,#N/A,#N/A
